학교급,학교명,소재지도로명주소,소재지지번주소,학교장명,교무실전화번호,행정실전화번호, 학급수 , 학생수 , 교원수 ,데이터기준일자
초등학교,가현초등학교,경기도 김포시 김포한강2로 83,경기도 김포시 장기동2065-3번지 ,박재남,031-996-1862,031-996-1866,49,1298 ,76,2024-03-27
초등학교,감정초등학교,경기도 김포시 중봉로 11,경기도 김포시 감정동508-13번지 ,정현학,031-982-4233,031-982-4232,37,845 ,56,2024-03-27
초등학교,개곡초등학교,경기도 김포시 월곶면 애기봉로 445,경기도 김포시 월곶면 개곡리267-2번지 ,위재옥,031-987-1898,031-989-5421,6,92 ,10,2024-03-27
초등학교,걸포초등학교,경기도 김포시 걸포로 22,경기도 김포시 걸포동1565번지 ,박성진,031-987-4891,031-987-4892,22,500 ,36,2024-03-27
초등학교,고창초등학교,경기도 김포시 김포한강1로98번길 35,경기도 김포시 장기동 1952,이철희,031-984-3004,031-985-5109,29,715 ,43,2024-03-27
초등학교,고촌초등학교,경기도 김포시 고촌읍 신곡로29번길 30,경기도 김포시 고촌읍 신곡리1101번지 ,김영만,031-986-1241,031-986-0128,22,552 ,36,2024-03-27
초등학교,금란초등학교,경기도 김포시 고촌읍 장곡로 42,경기도 김포시 고촌읍 풍곡리466-2번지 ,김홍섭,031-986-4252,031-985-1970,6,127 ,17,2024-03-27
초등학교,금성초등학교,경기도 김포시 하성면 하성로795번길 26,경기도 김포시 하성면 마조리434번지 ,정현수,031-988-3105,031-988-3106,6,57 ,12,2024-03-27
초등학교,금파초등학교,경기도 김포시 김포대로926번길 74,경기도 김포시 북변동809번지 ,이유경,031-998-4071,031-998-4074,23,530 ,34,2024-03-27
초등학교,김포구래초등학교,경기도 김포시 김포한강9로12번길 77,경기도 김포시 구래동 6891-10,서재민,031-8049-2202,031-8049-2290,38,932 ,55,2024-03-27
초등학교,김포금빛초등학교,경기도 김포시 태장로 821,경기도 김포시 장기동2158번지 ,김귀분,031-999-8705,031-999-8775,64,1698 ,89,2024-03-27
초등학교,김포나진초등학교,경기도 김포시 걸포2로 58,경기도 김포시 걸포동 223,임장명,031-8049-2100,031-8049-2174,50,1266 ,71,2024-03-27
초등학교,김포대명초등학교,경기도 김포시 대곶면 대곶로20번길 17,경기도 김포시 대곶면 대명리366-1번지 ,이옥규,031-989-3684,031-998-7719,6,51 ,11,2024-03-27
초등학교,김포서초등학교,경기도 김포시 봉화로 188,경기도 김포시 북변동687번지 ,김성주,031-984-6275,031-984-6274,24,540 ,36,2024-03-27
초등학교,김포신풍초등학교,경기도 김포시 풍무로208번길 14,경기도 김포시 풍무동19-5번지 ,오현철,031-996-0917,031-996-0916,44,1100 ,71,2024-03-27
초등학교,김포초등학교,경기도 김포시 북변중로65번길 4-24,경기도 김포시 북변동365번지 ,최재숙,031-983-1668,031-983-1669,14,280 ,22,2024-03-27
초등학교,김포한가람초등학교,경기도 김포시 김포한강9로 115번길 57,경기도 김포시 구래동6872-3번지 ,류인숙,031-996-5341,031-996-5345,27,704 ,42,2024-03-27
초등학교,김포호수초등학교,경기도 김포시 김포한강4로420번길 87,경기도 김포시 구래동6875-5번지 ,김상호,031-996-7416,031-996-7420,58,1502 ,86,2024-03-27
초등학교,나비초등학교,경기도 김포시 김포한강10로134번길 70,경기도 김포시 구래동6893-5번지 ,황인복,031-990-1063,031-990-1097,43,1094 ,65,2024-03-27
초등학교,대곶초등학교,경기도 김포시 대곶면 율생중앙로36번길 19,경기도 김포시 대곶면 율생리444번지 ,양경말,031-987-3600,031-987-2468,10,147 ,20,2024-03-27
초등학교,마송중앙초등학교,경기도 김포시 통진읍 마송1로 140,경기도 김포시 통진읍 마송리499번지 ,나경옥,031-996-0792,031-996-0794,24,449 ,34,2024-03-27
초등학교,마송초등학교,경기도 김포시 통진읍 흥신로 315,경기도 김포시 통진읍 마송리1-2번지 ,나인호,031-987-1067,031-987-6067,13,254 ,19,2024-03-27
초등학교,보름초등학교,경기도 김포시 고촌읍 태리로 267,경기도 김포시 고촌읍 신곡리 886,이경자,031-5186-1600,031-5186-1670,59,1560 ,80,2024-03-27
초등학교,사우초등학교,경기도 김포시 사우로 20,경기도 김포시 사우동907번지 ,이성진,031-998-4053,031-998-4054,28,683 ,44,2024-03-27
초등학교,서암초등학교,경기도 김포시 통진읍 서암로184번길 9,경기도 김포시 통진읍 서암리407번지 ,신현철,031-987-1064,031-981-5663,12,178 ,20,2024-03-27
초등학교,석정초등학교,경기도 김포시 대곶면 대곶로331번길 10,경기도 김포시 대곶면 석정리381번지 ,강연희,031-989-3706,031-981-4476,7,62 ,14,2024-03-27
